Risk ID Mitigated,Mitigation Number,Reduction in Likelihood (Percent),Reduction in Severity (Percent),Risk Short Description,Response Measure Description,Notes,Reformatted as a Question
#008,69,56.67,33.33,"Prompt writers produce prompts with inadequate variability within the valid input space (e.g., a single prompt writer writes all the prompts)",Source prompts from multiple populations with distinct prompt writer demographic attributes,,Do you source prompts from multiple populations with clearly distinct demographic characteristics among prompt writers?
#008,142,56.67,54.17,"Prompt writers produce prompts with inadequate variability within the valid input space (e.g., a single prompt writer writes all the prompts)",Define the information foraging task of the benchmark relying user in such a way that coverage over the input space can be sampled rather than comprehensive,,Do you define the information foraging task of the benchmark-relying user in a way that allows for sampling over the input space rather than requiring comprehensive coverage?
#008,164,73.33,50.00,"Prompt writers produce prompts with inadequate variability within the valid input space (e.g., a single prompt writer writes all the prompts)",Involve domain experts in the production of the prompts to ensure all known forms of variation are covered,,Do you involve domain experts in producing the prompts to ensure all known forms of variation are covered by the inputs?
#009,12,43.33,41.67,Adversarial prompt bulking (increasing the number of prompts by multiplying them by the number of tactics),"State sample count in terms of root samples and templates (i.e., structured expressions of inputs subject to perturbation or instantiation) or are there no templates?",,"Do you state sample counts in terms of root samples and templates (i.e., structured expressions of inputs subject to perturbation or instantiation)? Templates may be excluded entirely from the design."
#009,84,53.33,41.67,Adversarial prompt bulking (increasing the number of prompts by multiplying them by the number of tactics),Analyze prompt length and embedding space distribution visually,,Do you analyze prompt length and embedding space distribution visually to understand prompt variability?
#009,86,46.67,33.33,Adversarial prompt bulking (increasing the number of prompts by multiplying them by the number of tactics),Source prompts from multiple populations with distinct prompt writer demographic attributes,,Do you source prompts from multiple populations with distinct demographic attributes of the prompt writers?
#009,165,86.67,58.33,Adversarial prompt bulking (increasing the number of prompts by multiplying them by the number of tactics),The task as defined does not examine adversarial performance and adversarial prompts are not included,,"Is the task defined in a way that does not examine adversarial performance, and are adversarial prompts excluded?"
#009,178,70.00,37.50,Adversarial prompt bulking (increasing the number of prompts by multiplying them by the number of tactics),All prompts are sourced from real users under normal circumstances,,Are all prompts sourced from real users under normal circumstances?
#009,183,56.67,29.17,Adversarial prompt bulking (increasing the number of prompts by multiplying them by the number of tactics),Data is collected from publicly available sources that have no directive or incentive to adversarially bulk the number of prompts,,Is your data collected from publicly available sources with no incentive or directive to adversarially inflate the number of prompts?
#010,13,50.00,33.33,Prompt perturbation bulking (increasing the number of prompts by making small changes to root prompts),"State sample count in terms of root samples and templates (i.e., structured expressions of inputs subject to perturbation or instantiation) or are there no templates?",,"Do you state sample counts in terms of root samples and templates (i.e., structured expressions of inputs subject to perturbation or instantiation)? Templates may be excluded entirely from the design."
#010,85,40.00,45.83,Prompt perturbation bulking (increasing the number of prompts by making small changes to root prompts),Analyze prompt length and embedding space distribution visually,,Do you analyze prompt length and embedding space distribution visually to understand prompt variability?
#010,87,36.67,45.83,Prompt perturbation bulking (increasing the number of prompts by making small changes to root prompts),Source prompts from multiple populations with distinct prompt writer demographic attributes,,Do you source prompts from multiple populations with distinct demographic attributes of the prompt writers?
#010,184,73.33,45.83,Prompt perturbation bulking (increasing the number of prompts by making small changes to root prompts),Data is collected from publicly available sources that have no directive or incentive to adversarially bulk the number of prompts,,Is your data collected from publicly available sources with no incentive or directive to adversarially inflate the number of prompts?
#011,14,43.33,58.33,"Prompts focus on adversarial users (e.g., users are attempting to circumvent a guard model)","Clarify focus on adversarial benchmark (i.e., the benchmark is explicitly testing adversarial vulnerability) or broaden sampling beyond adversarial cases",,Do you publicly state that the benchmark focuses on adversial testing or does the benchmark design sample beyond adversarial cases?
#011,90,63.33,33.33,"Prompts focus on adversarial users (e.g., users are attempting to circumvent a guard model)",The benchmark does not present results for adversarial prompts or adversarial users are not applicable,,Does the benchmark avoid presenting results for adversarial prompts or scenarios where adversarial users are not applicable?
#012,65,60.00,33.33,"Prompt writers bias the sample to their own demographically-aligned word use, topics of interest, or other dimensions that tend to not explore the entirety of supported input space for the benchmark's supported use case",Record the demographics of the people generating prompts and selectively sample from less sampled populations,,Do you record the demographics of individuals generating prompts and make efforts to sample from underrepresented populations?
#012,71,73.33,45.83,"Prompt writers bias the sample to their own demographically-aligned word use, topics of interest, or other dimensions that tend to not explore the entirety of supported input space for the benchmark's supported use case",Source prompts from different geographic locales,,Do you source prompts from a range of different geographic regions to increase representativeness?
#014,17,70.00,29.17,Benchmark does not capture the distribution or variability of the task in the real world,"Source prompts from SUTs deployed in a real world for the task under evaluation for the benchmark (i.e., a non-experimental setting)",,"Do you source prompts from SUTs deployed in a real world setting for the task under evaluation within the benchmark (i.e., a non-experimental setting)?"
#014,143,53.33,29.17,Benchmark does not capture the distribution or variability of the task in the real world,Source additional prompts through peer review and/or submission from the broader community,,Do you source additional prompts through peer review and/or submissions from the broader community?
#014,144,80.00,33.33,Benchmark does not capture the distribution or variability of the task in the real world,Source prompts from SUTs deployed to real users under realistic laboratory circumstances,,"Do you source prompts from SUTs deployed to real users under realistic laboratory conditions (i.e., the user is directed to do a real task)?"
#014,193,70.00,41.67,Benchmark does not capture the distribution or variability of the task in the real world,Include domain experts in the construction of the benchmark with explicit directive to capture the full variability of the task,,Were domain experts involved in benchmark construction with the goal of capturing the full variability of the task?
#015,18,60.00,16.67,"Prompts have known properties allowing for achieving an unrealistic (i.e., non-generalizing) performance.  For example, prompts are of particular and known lengths.",Do not release representative sample prompts to SUT vendors,,Do you avoid releasing a representative sample of prompts to SUT developers?
#015,79,53.33,16.67,"Prompts have known properties allowing for achieving an unrealistic (i.e., non-generalizing) performance.  For example, prompts are of particular and known lengths.","Analyze prompt properties (e.g., length) and embedding space distribution visually",,Do you analyze prompt properties—such as length and embedding space distribution—using visual or statistical methods?
#015,80,53.33,16.67,"Prompts have known properties allowing for achieving an unrealistic (i.e., non-generalizing) performance.  For example, prompts are of particular and known lengths.",Source prompts from multiple people representing distinct populations,,Do you source prompts from multiple individuals representing distinct populations to ensure diversity and reduce bias?
#015,145,46.67,16.67,"Prompts have known properties allowing for achieving an unrealistic (i.e., non-generalizing) performance.  For example, prompts are of particular and known lengths.",Do not release the test set to SUT developers,,Do you avoid releasing the test set to SUT developers?
#015,201,66.67,37.50,"Prompts have known properties allowing for achieving an unrealistic (i.e., non-generalizing) performance.  For example, prompts are of particular and known lengths.","Are the prompt outputs multi-step, inherently high dimensional, or possess some other property making the benchmarked task difficult to game on the basis of a non-generalizing input feature (e.g., prompt lengths)?",,"Are the prompt outputs multi-step, inherently high dimensional, or possess some other property making the benchmarked task difficult to game on the basis of a non-generalizing input feature (e.g., prompt lengths)?"
#016,19,60.00,0.00,"An inadequate number of prompts are produced to identify rare critical events (i.e., tail risks)",Calibrate prompt count to statistical analysis,,Do you calibrate your prompt sample count to a statistical analysis indicating the number of samples required to identify the probability of rare events?
#016,146,23.33,50.00,"An inadequate number of prompts are produced to identify rare critical events (i.e., tail risks)","Establish in the task definition that rare events (i.e., tail risks) are not of interest to the benchmark relying person",,"Is it established in the task definition that rare events (i.e., tail risks) are not of interest to the benchmark-relying person?"
#018,21,16.67,54.17,"No coverage for target language idiomatic expressions (including differences in functional expression, less common APIs, etc., within programming languages) beyond those known to the benchmark authors",State limitation prominently within benchmark presentation for the language(s) supported by the benchmark,,Do you prominently and publicly state the benchmark does not cover idioms within the languages supported by the benchmark?
#018,147,93.33,37.50,"No coverage for target language idiomatic expressions (including differences in functional expression, less common APIs, etc., within programming languages) beyond those known to the benchmark authors",The benchmark does not process human languages in its inputs or outputs,,Does the benchmark avoid processing human languages in its inputs or outputs?
#018,166,60.00,29.17,"No coverage for target language idiomatic expressions (including differences in functional expression, less common APIs, etc., within programming languages) beyond those known to the benchmark authors",The task as defined seeks to avoid processing and expression of idioms,,Does the task definition aim to avoid processing and expression of idioms?
#018,179,53.33,25.00,"No coverage for target language idiomatic expressions (including differences in functional expression, less common APIs, etc., within programming languages) beyond those known to the benchmark authors","Source prompts from SUTs deployed in the real world for the task under evaluation for the benchmark (i.e., a non-experimental setting)",,"Are the source prompts taken from systems under test (SUTs) deployed in real-world, non-experimental settings for the task under evaluation?"
#018,180,60.00,33.33,"No coverage for target language idiomatic expressions (including differences in functional expression, less common APIs, etc., within programming languages) beyond those known to the benchmark authors",Source prompts from SUTs deployed in an experimental setting that allows for the collection of idioms,,Do you source prompts from experimental settings that enable the collection of idioms?
#019,22,56.67,20.83,"Cultural norms do not translate between cultural contexts (languages, geographies, etc.)","State limitation prominently within benchmark presentation, such as ""this is a work of __ culture, and as such definitions of violating content should be understood as representing that perspective""",,"Do you clearly state the cultural or contextual limitations of your benchmark, such as noting that definitions of violating content reflect a specific cultural perspective?"
#019,134,60.00,16.67,"Cultural norms do not translate between cultural contexts (languages, geographies, etc.)",The benchmark does not process human languages in its inputs or outputs,,Does the benchmark avoid processing human languages in its inputs and outputs?
#019,194,50.00,33.33,"Cultural norms do not translate between cultural contexts (languages, geographies, etc.)",Tag prompts with their cultural context and disclaim those contexts that are not covered,,Do you tag prompts with their cultural context and explicitly disclaim contexts that are not covered?
#020,23,70.00,37.50,Producing prompts in a language from prompts translated from another language introduces errors,Validate all machine-translated prompts with highly qualified speaker of both languages,,Do you validate all machine-translated prompts using a highly qualified speaker fluent in both source and target languages?
#020,63,40.00,45.83,Producing prompts in a language from prompts translated from another language introduces errors,Statistically validate translation quality and propagate uncertainty to the scores,,Do you statistically validate the quality of translations and propagate uncertainty into the benchmark scores?
#020,92,73.33,25.00,Producing prompts in a language from prompts translated from another language introduces errors,Benchmark authors do not use data vendors and commit to not using machine translation in generating the benchmark. All prompts originate in the language of the test.,,"Do you avoid using data vendors and machine translation in prompt generation, ensuring all prompts originate in the language of the test?"
#020,148,86.67,8.33,Producing prompts in a language from prompts translated from another language introduces errors,The benchmark does not test concepts related to language,,Does the benchmark avoid processing human languages in its inputs or outputs?
#020,181,86.67,16.67,Producing prompts in a language from prompts translated from another language introduces errors,Benchmark data is sourced entirely from a single language and makes no claims with respect to other languages,,"Is the benchmark data sourced entirely from a single language, and do you make no claims regarding its applicability to other languages?"
#020,185,83.33,16.67,Producing prompts in a language from prompts translated from another language introduces errors,"The data is all of naturalistic origin (e.g., it is collected from publicly available forums)",,"Is all the data of naturalistic origin (e.g., collected from public forums)?"
#020,195,60.00,12.50,Producing prompts in a language from prompts translated from another language introduces errors,Check whether translation back from the target language to the source language produces language consistent with the original language expression,,Do you check whether back-translating from the target language to the source language yields expressions consistent with the original language?
#021,24,100.00,12.50,Prompts are sent to model vendors when inferencing or all prompts are publicly available,(This mitigation may only be considered as applied when the prompts are never available to the SUT developer) Don't send prompts to SUT developers when inferencing,,(This mitigation may only be considered as applied when the prompts are never available to the SUT developer) Do you ensure that prompts are not shared with SUT developers during inferencing?
#021,25,73.33,20.83,Prompts are sent to model vendors when inferencing or all prompts are publicly available,(This mitigation may only be considered as applied when the prompts are only processed under contract) Contractually prohibit logging of test runs and human review of any test prompts,,(This mitigation may only be considered as applied when the prompts are only processed under contract) Do you include contractual prohibitions both against logging test runs and for allowing human review of test prompts?
#021,72,66.67,29.17,Prompts are sent to model vendors when inferencing or all prompts are publicly available,(This mitigation may only be considered as applied when this verification is affirmed with all SUT developer engineering staff) Verify with vendor engineering staff of SUT developers that prompts will not be recorded,,Do you verify with engineering staff of SUT developers that prompts will not be recorded? You may only consider this mitigation as applied when all relevant SUT engineering staffs affirm this.
#022,26,66.67,20.83,"Distribution of SUT inputs within the real world are substantially different in distribution from those within the benchmark (e.g., SUT users ask different questions from those posed by the benchmark authors)",Perform characteristic analysis of prompts collected from a production system versus prompts in the test set and publicly disclose variation,,"Do you perform a characteristic analysis comparing prompts collected from a production system to those in your test set, and do you publicly disclose any significant variations?"
#023,27,60.00,12.50,SUT developer trains against sample prompt set,Provide sample prompts under license that prohibits training,,Do you provide sample prompts under a license that explicitly prohibits their use in model training?
#023,91,53.33,25.00,SUT developer trains against sample prompt set,Include canary data in the prompt set whose inclusion in training would make the model testable for training against the benchmark,,"Do you include canary data in the prompt set that would reveal if the benchmark was used in model training, enabling detection of training contamination?"
#023,149,40.00,37.50,SUT developer trains against sample prompt set,"Require SUT developers to disclose their training practices in attempting to maximize their scores, including engineering the system to better address the sample set and/or train against the sample set directly and disclaim results when they have engineered (training or model design changes) to the sample set",,"Do you require SUT developers to disclose their training practices when attempting to maximize their scores, including any training or engineering done to specifically target the sample set? And do you require them to disclaim results in such cases?"
#024,53,70.00,25.00,"SUT is tested under conditions (e.g. temperature, iteration, context window settings) not matching deployment conditions or those conditions typically experienced by relying persons under default configurations",Require consistency between SUT temperature/options and default user-presented temperature/options or those clearly recommended in vendor published guidelines for use-case,,"Do you require that the system configuration (e.g., temperature, system prompts) used in benchmarking matches either the system’s default user-facing settings or those clearly recommended in vendor guidelines for the intended use case?"
#024,150,53.33,12.50,"SUT is tested under conditions (e.g. temperature, iteration, context window settings) not matching deployment conditions or those conditions typically experienced by relying persons under default configurations",Do not provide a sample set that allows for tuning the hyperparameters on the test set. This may only be selected if the evaluation set is not public.,,Do you avoid providing a sample set that would allow for tuning hyperparameters on the test set and do you avoid publishing the evaluation set?
#024,151,60.00,12.50,"SUT is tested under conditions (e.g. temperature, iteration, context window settings) not matching deployment conditions or those conditions typically experienced by relying persons under default configurations",Allow for a very limited number of evaluations for SUT developers,,Do you allow SUT developers a very limited number of evaluations?
#025,28,76.67,12.50,SUT developers place evaluator or other test ground truth within system chain,Do not make evaluator or ground truth publicly available,,Do you refrain from making the evaluator or ground truth publicly available?
#025,46,86.67,45.83,SUT developers place evaluator or other test ground truth within system chain,Use 100 percent human evaluators,,Do you use 100% human evaluators for assessing system performance?
#025,73,36.67,41.67,SUT developers place evaluator or other test ground truth within system chain,Employ backup evaluator with human validation of sampled outputs,,Do you employ a backup evaluator with human validation of sampled outputs to ensure evaluation reliability?
#025,93,86.67,41.67,SUT developers place evaluator or other test ground truth within system chain,Evaluator applies an algorithm to a list of correct answers and there is no legitimate reason to incorporate this into the system chain,,"Is the evaluator strictly algorithmic (i.e., applying a list of correct answers) with no legitimate reason to be embedded in the system-under-test (SUT) chain?"
#026,29,63.33,25.00,Evaluator (humans labeling the final outputs used in benchmarking or an LLM-as-a-judge) tuned on translated outputs with substantial errors,Validate all machine-translated prompts with highly qualified speaker of both languages,,Do you validate all machine-translated prompts using a highly qualified speaker fluent in both source and target languages?
#026,47,83.33,45.83,Evaluator (humans labeling the final outputs used in benchmarking or an LLM-as-a-judge) tuned on translated outputs with substantial errors,Use 100 percent human evaluators,,Do you use 100% human evaluators for assessing system performance?
#026,81,63.33,50.00,Evaluator (humans labeling the final outputs used in benchmarking or an LLM-as-a-judge) tuned on translated outputs with substantial errors,"For all languages benchmarked, validate evaluator vs native speaker response grading to ensure error rate consistent with representations to users",,"For all languages benchmarked, do you validate evaluator versus native speaker response grading to ensure the error rate is consistent with the representations made to users?"
#026,94,80.00,8.33,Evaluator (humans labeling the final outputs used in benchmarking or an LLM-as-a-judge) tuned on translated outputs with substantial errors,"Benchmark authors do not use data vendors (i.e., they can assert from direct observation of practices that the data used to tune the evaluator was not machine translated) and commit to not using machine translation in generating the benchmark",,"Can you confirm that no data vendors were used and that the evaluation data was not machine-translated, based on direct observation of practices?"
#026,152,86.67,37.50,Evaluator (humans labeling the final outputs used in benchmarking or an LLM-as-a-judge) tuned on translated outputs with substantial errors,"The benchmark does not test concepts related to language (i.e., the input and outputs are not textual)",,"Does the benchmark avoid testing concepts related to language (i.e., inputs and outputs are not textual)?"
#026,196,63.33,12.50,Evaluator (humans labeling the final outputs used in benchmarking or an LLM-as-a-judge) tuned on translated outputs with substantial errors,Check whether translation back from the target language to the source language produces language consistent with the original language expression,,Do you check whether back-translating from the target language to the source language yields expressions consistent with the original language?
#027,30,80.00,45.83,Low interrater reliability of ground truth data used to tune the evaluator,Measure and iterate on methods until (1) high interrater reliability is achieved between human labeling data used to train the evaluator model and (2) remaining uncertainty arising from disagreements is accounted for in the confidence measures presented to users,,"Do you measure and iterate on your methods until you achieve high interrater reliability for the human-labeled data used to train the evaluator, and ensure that any remaining uncertainty from disagreements is reflected in the confidence measures provided to users?"
#027,48,86.67,45.83,Low interrater reliability of ground truth data used to tune the evaluator,Use 100 percent human evaluators,,Do you use 100% human evaluators for assessing system performance?
#027,135,80.00,20.83,Low interrater reliability of ground truth data used to tune the evaluator,A high level of agreement between all human annotation outputs and the evaluation model is observed,,Is there evidence of high agreement between human annotation outputs and the evaluation model?
#027,137,80.00,0.00,Low interrater reliability of ground truth data used to tune the evaluator,Measure and iterate on methods until high interrater reliability is achieved,DUPLICATE OF 30?,Do you measure and iterate on methods until high interrater reliability is achieved?
#027,153,96.67,20.83,Low interrater reliability of ground truth data used to tune the evaluator,"Benchmark has singular answers that are checked from a list  (i.e., there is nothing for which evaluators may disagree)",,Does the benchmark use singular answers that are checked against a list?
#027,182,86.67,33.33,Low interrater reliability of ground truth data used to tune the evaluator,"Used an off-the-shelf evaluator model without tuning, but with an evaluation program that finds its reliability to be adequate for the evaluation task",,"Did you use an off-the-shelf evaluator model without tuning, while ensuring the evaluation program demonstrates adequate reliability for the task?"
#028,31,76.67,16.67,Evaluator tuned to SUT failing outputs and cannot generalize to new SUTs,Statistically confirm performance for every new SUT by checking the performance of the evaluator on a representative sample of SUT outputs,,Do you statistically confirm performance for each new system under test (SUT) by evaluating the benchmark's accuracy on a representative sample of that SUT's outputs?
#028,49,86.67,54.17,Evaluator tuned to SUT failing outputs and cannot generalize to new SUTs,Use 100 percent human evaluators,,Do you use 100% human evaluators for assessing system performance?
#028,95,83.33,45.83,Evaluator tuned to SUT failing outputs and cannot generalize to new SUTs,Evaluator applies an algorithm to check a list of correct answers to determine whether outputs are correct or compliant,,Does the evaluator apply an algorithm to compare model outputs against a list of correct answers to assess correctness or compliance?
#028,154,86.67,33.33,Evaluator tuned to SUT failing outputs and cannot generalize to new SUTs,"Benchmark has singular answers that are checked from a list (i.e., there is nothing for which evaluators may disagree)",,Does the benchmark use singular answers that are checked against a list?
#029,32,80.00,20.83,SUT developers produce training data from evaluator,Do not make evaluator or the answers publicly available,,Do you avoid making the evaluator or its answers publicly available?
#029,50,86.67,41.67,SUT developers produce training data from evaluator,Use 100 percent human evaluators,,Do you use 100% human evaluators for assessing system performance?
#029,96,60.00,45.83,SUT developers produce training data from evaluator,Evaluator applies an algorithm to check a list of correct answers to determine whether outputs are correct or compliant,,Does the evaluator apply an algorithm to compare model outputs against a list of correct answers to assess correctness or compliance?
#030,54,36.67,41.67,Certain SUTs produce outputs with higher evaluator errors than other SUTs,Run statistical analysis of evaluator failures and prominently disclose detected biases for all SUTs,,"Do you conduct statistical analysis of evaluator (human, model, or algorithm) failures and prominently disclose any detected biases across all SUTs?"
#030,97,83.33,50.00,Certain SUTs produce outputs with higher evaluator errors than other SUTs,"SUT is required to produce outputs conforming to the evaluator's expected format (e.g., true/false, multiple choice selection, executable code with unit tested conformance, etc.)",,"Is the system-under-test required to produce outputs that conform to the evaluator’s expected format (e.g., true/false, multiple choice)?"
#030,155,83.33,41.67,Certain SUTs produce outputs with higher evaluator errors than other SUTs,"Benchmark has singular answers (i.e., the outputs must be bit-exact in order to be correct) that are checked via a lookup table",,"Does the benchmark use singular answers (i.e., bit-exact outputs) that are checked via a lookup table?"
#031,55,73.33,45.83,Evaluator(s) perform poorly across all SUTs,Iteratively improve evaluator model and check performance until performance threshold is achieved,,Do you iteratively improve your evaluator model and validate its performance until it reaches a predefined performance threshold?
#031,98,76.67,37.50,Evaluator(s) perform poorly across all SUTs,"SUT is required to produce outputs conforming to the evaluator's expected format (e.g., true/false, multiple choice selection, executable code with unit tested conformance, etc.)",,"Is the system-under-test required to produce outputs that conform to the evaluator’s expected format (e.g., true/false, multiple choice)?"
#031,156,83.33,33.33,Evaluator(s) perform poorly across all SUTs,"Benchmark has singular answers (i.e., the outputs must be bit-exact in order to be correct) that are checked via a lookup table",,"Does the benchmark use singular answers (i.e., bit-exact outputs) that are checked via a lookup table?"
